pocket,displacement,tanimoto,recall
complex_000063,2.0,0.3333333333333333,0.42857142857142855
complex_000063,2.0,0.375,0.42857142857142855
complex_000063,2.0,0.75,0.8571428571428571
complex_000063,2.0,0.6,0.8571428571428571
complex_000063,2.0,0.4444444444444444,0.5714285714285714
complex_000063,2.0,0.3333333333333333,0.5714285714285714
complex_000063,2.0,0.4,0.5714285714285714
complex_000063,3.0,0.7,1.0
complex_000063,3.0,0.5,0.8571428571428571
complex_000063,3.0,0.5454545454545454,0.8571428571428571
complex_000063,3.0,0.18181818181818182,0.2857142857142857
complex_000063,3.0,0.5714285714285714,0.5714285714285714
complex_000063,3.0,0.3333333333333333,0.42857142857142855
complex_000063,3.0,0.1111111111111111,0.14285714285714285
complex_000063,3.0,0.1,0.14285714285714285
complex_000063,3.0,0.23076923076923078,0.42857142857142855
complex_000063,3.0,0.3333333333333333,0.42857142857142855
complex_000063,3.0,0.75,0.8571428571428571
complex_000063,3.0,0.3333333333333333,0.5714285714285714
complex_000069,0.5,0.8,0.8
complex_000069,0.5,0.8333333333333334,1.0
complex_000069,0.5,0.9090909090909091,1.0
complex_000069,0.5,0.9,0.9
complex_000069,0.5,0.8181818181818182,0.9
complex_000069,0.5,0.9,0.9
complex_000069,0.5,0.9,0.9
complex_000069,0.5,0.9090909090909091,1.0
complex_000069,0.5,0.9,0.9
complex_000069,0.5,1.0,1.0
complex_000069,0.5,0.9090909090909091,1.0
complex_000069,0.5,0.9,0.9
complex_000069,1.0,0.7272727272727273,0.8
complex_000069,1.0,0.7272727272727273,0.8
complex_000069,1.0,0.9090909090909091,1.0
complex_000069,1.0,0.7,0.7
complex_000069,1.0,0.6,0.6
complex_000069,1.0,0.6363636363636364,0.7
complex_000069,1.0,0.7272727272727273,0.8
complex_000069,1.0,0.9,0.9
complex_000069,1.0,0.7272727272727273,0.8
complex_000069,1.0,0.7272727272727273,0.8
complex_000069,1.0,0.6666666666666666,0.8
complex_000069,1.0,0.7272727272727273,0.8
complex_000069,2.0,0.38461538461538464,0.5
complex_000069,2.0,0.7272727272727273,0.8
complex_000069,2.0,0.6363636363636364,0.7
complex_000069,2.0,0.7272727272727273,0.8
complex_000069,2.0,0.6363636363636364,0.7
complex_000069,2.0,0.6666666666666666,0.8
complex_000069,2.0,0.35714285714285715,0.5
complex_000069,2.0,0.6428571428571429,0.9
complex_000069,2.0,0.3076923076923077,0.4
complex_000069,2.0,0.46153846153846156,0.6
complex_000069,2.0,0.8181818181818182,0.9
complex_000069,2.0,0.6666666666666666,0.8
complex_000069,3.0,0.5833333333333334,0.7
complex_000069,3.0,0.46153846153846156,0.6
complex_000069,3.0,0.5384615384615384,0.7
complex_000069,3.0,0.46153846153846156,0.6
complex_000069,3.0,0.5454545454545454,0.6
complex_000069,3.0,0.2727272727272727,0.3
complex_000069,3.0,0.3333333333333333,0.5
complex_000069,3.0,0.5833333333333334,0.7
complex_000069,3.0,0.3125,0.5
complex_000069,3.0,0.5714285714285714,0.8
complex_000069,3.0,0.4166666666666667,0.5
complex_000069,3.0,0.5833333333333334,0.7
complex_000085,0.5,0.9333333333333333,0.9333333333333333
complex_000085,0.5,0.7058823529411765,0.8
complex_000085,0.5,0.8823529411764706,1.0
complex_000085,0.5,0.8235294117647058,0.9333333333333333
complex_000085,0.5,0.7058823529411765,0.8
complex_000085,0.5,0.7333333333333333,0.7333333333333333
complex_000085,0.5,0.5882352941176471,0.6666666666666666
complex_000085,0.5,0.875,0.9333333333333333
complex_000085,0.5,0.875,0.9333333333333333
complex_000085,0.5,0.7058823529411765,0.8
complex_000085,0.5,0.875,0.9333333333333333
